issuerName,issuerTradingSymbol:ID(Company),form,sector,marketCap:double,:LABEL
NAVISTAR INTERNATIONAL CORP,NAV,Form 4,Capital Goods,3187927049.86,Company
"AAC Holdings, Inc.",AAC,Form 4,Health Care,67410452.7,Company
LASALLE HOTEL PROPERTIES,LHO,Form 4,unknown,,Company
Alphabet Inc.,GOOG,Form 4,Technology,829579830074.72,Company
IBT BANCORP INC /MI/,IBTB,Form 4,unknown,,Company
SCHOLASTIC CORP,SCHL,Form 4,Consumer Services,1459679989.2,Company
CALLON PETROLEUM CO,CPE,Form 4,Energy,1686281127.2,Company
TRINET GROUP INC,TNET,Form 4,Miscellaneous,4293711784.45,Company
TANGER FACTORY OUTLET CENTERS INC,SKT,Form 4,Consumer Services,1966201518.19,Company
"Advanced Emissions Solutions, Inc.",ADES,Form 4,Basic Industries,224648317.68,Company
"Gannett Co., Inc.",GCI,Form 4,Consumer Services,1236218770.8,Company
Sprague Resources LP,SRLP,Form 4,Energy,339418276.61,Company
ALBEMARLE CORP,ALB,Form 4,Basic Industries,9117040615.44,Company
MOTOROLA INC,MOT,Form 4,unknown,,Company
JETBLUE AIRWAYS CORP,JBLU,Form 4,Transportation,5158953200.61,Company
ISTAR FINANCIAL INC,SFI,Form 4,unknown,,Company
"BlackRock, Inc.",BLK,Form 4,Finance,68661946787.2,Company
CHENIERE ENERGY INC,LNG,Form 4,Public Utilities,17841483761.13,Company
ASHLAND GLOBAL HOLDINGS INC,ASH,Form 4,Consumer Durables,4951870505.52,Company
LINCOLN NATIONAL CORP,LNC,Form 4,Finance,12625357581.6,Company
CASTLE A M & CO,CAS,Form 4,unknown,,Company
CHURCHILL DOWNS INC,CHDN,Form 4,Consumer Services,3482980491.54,Company
Aircastle LTD,AYR,Form 4,Technology,1527316459.2,Company
AUBURN NATIONAL BANCORPORATION INC,AUBN,Form 4,Finance,121668752.52,Company
FIRST DATA CORP,FDC,Form 4,Miscellaneous,24004593510.56,Company
"Springleaf Holdings, Inc.",LEAF,Form 4,Technology,208145091.25,Company
TiVo Corp,TIVO,Form 4,Miscellaneous,1179360000.0,Company
AMERICA FIRST TAX EXEMPT INVESTORS LP,ATAXZ,Form 4,unknown,,Company
INTER PARFUMS INC,IPAR,Form 4,unknown,,Company
FEDERAL SIGNAL CORP /DE/,FSS,Form 4,Capital Goods,1483874226.45,Company
SNAP ON INC,SNA,Form 4,Capital Goods,8838516492.04,Company
IDACORP INC,IDA,Form 4,Public Utilities,5041863435.62,Company
CLEVELAND CLIFFS INC,CLF,Form 4,Basic Industries,2967039786.36,Company
MSCI Inc.,MXB,Form 4,unknown,,Company
MANPOWER INC /WI/,MAN,Form 4,Technology,5063754707.84,Company
IRON MOUNTAIN INC/PA,IRM,Form 4,Consumer Services,10100118062.65,Company
Egalet Corp,EGLT,Form 4,unknown,,Company
EMPIRE DISTRICT ELECTRIC CO,EDE,Form 4,unknown,,Company
MCDONALDS CORP,MCD,Form 4,Consumer Services,139333673463.92,Company
ETSY INC,ETSY,Form 4,Miscellaneous,8387582468.95,Company
KEYCORP /NEW/,KEY,Form 4,Finance,17472204020.52,Company
NANOMETRICS INC,NANO,Form 4,Capital Goods,715562669.25,Company
Celanese CORP,CE,Form 4,Basic Industries,13016997678.6,Company
MAXIM INTEGRATED PRODUCTS INC,MXIM,Form 4,Technology,14473708119.6,Company
CATERPILLAR INC,CAT,Form 4,Capital Goods,76834955523.0,Company
PIONEER NATURAL RESOURCES CO,PXD,Form 4,Energy,22844376880.64,Company
U-Store-It Trust,YSI,Form 4,unknown,,Company
"CDK Global, Inc.",CDK,Form 4,Miscellaneous,7187172442.35,Company
GENOMIC HEALTH INC,GHDX,Form 4,Health Care,2804704988.0,Company
UAL CORP /DE/,UAL,Form 4,Transportation,21660946528.17,Company
CHESAPEAKE ENERGY CORP,CHK,Form 4,Energy,4927808790.3,Company
"HORIZON PHARMA, INC.",HZNP,Form 4,Health Care,4598379792.31,Company
MBIA INC,MBI,Form 4,Finance,922216780.38,Company
"ChemoCentryx, Inc.",CCXI,Form 4,Health Care,527140038.3,Company
ACTIVISION INC /NY,ATVI,Form 4,Technology,33379540250.1,Company
"UCP, Inc.",UCP,Form 4,unknown,,Company
MGM Growth Properties LLC,MGP,Form 4,Consumer Services,8779199183.86,Company
NUVASIVE INC,NUVA,Form 4,Health Care,2885397439.76,Company
"Sequential Brands Group, Inc.",SQBG,Form 4,unknown,,Company
MANHATTAN PHARMACEUTICALS INC,MHTT.OB,Form 4,unknown,,Company
REALPAGE INC,RP,Form 4,Technology,5674370794.5,Company
APA OPTICS INC /MN/,APAT,Form 4,unknown,,Company
FEDERAL AGRICULTURAL MORTGAGE CORP,AGM,Form 4,Finance,829277351.43,Company
PIER 1 IMPORTS INC/DE,PIR,Form 4,Consumer Services,93507024.6,Company
"Amtrust Financial Services, Inc.",AFSI,Form 4,unknown,,Company
PRIVATEBANCORP INC,PVTB,Form 4,unknown,,Company
GENERAL ELECTRIC CO,GE,Form 4,Energy,87224902602.0,Company
ZION OIL & GAS INC,ZN,Form 4,Energy,54882999.8356,Company
CORNING INC /NY,GLW,Form 4,Basic Industries,26993772414.63,Company
"CommScope Holding Company, Inc.",COMM,Form 4,Technology,4215051890.98,Company
SPATIALIZER AUDIO LABORATORIES INC,SPAZ.OB,Form 4,unknown,,Company
"Accretive Health, Inc.",AH,Form 4,unknown,,Company
Synchrony Financial,SYF,Form 4,Finance,23368667903.6,Company
REPRO MED SYSTEMS INC,REPR.OB,Form 4,unknown,,Company
SBC COMMUNICATIONS INC,SBC,Form 4,unknown,,Company
STURM RUGER & CO INC,RGR,Form 4,Capital Goods,882676480.0,Company
SEACOAST BANKING CORP OF FLORIDA,SBCF,Form 4,Finance,1478512317.34,Company
HASBRO INC,HAS,Form 4,unknown,,Company
Nuvectra Corp,NVTR,Form 4,Health Care,221951968.26,Company
PROVIDENT BANCORP INC/NY/,'PBCP',Form 4,unknown,,Company
TREDEGAR CORP,TG,Form 4,Capital Goods,562665367.04,Company
ATRION CORP,ATRI,Form 4,Health Care,1463491964.4,Company
EL PASO ELECTRIC CO /TX/,EE,Form 4,Public Utilities,2411405335.2,Company
Metaldyne Performance Group Inc.,MPG,Form 4,unknown,,Company
GENETRONICS BIOMEDICAL CORP,GEB,Form 4,unknown,,Company
SIMMONS FIRST NATIONAL CORP,SFNCA,Form 4,unknown,,Company
ALTRIA GROUP INC,MO,Form 4,unknown,,Company
PROGRESSIVE CORP/OH/,PGR,Form 4,Finance,42227375498.24,Company
"Fidelity National Title Group, Inc.",FNT,Form 4,unknown,,Company
AMERICAN EXPRESS CO,AXP,Form 4,Finance,94575362765.94,Company
ICO Global Communications (Holdings) LTD,ICOHA,Form 4,unknown,,Company
GRACO INC,GGG,Form 4,Capital Goods,7974021926.88,Company
DREW INDUSTRIES INCORPORATED,DW,Form 4,unknown,,Company
PANHANDLE ROYALTY CO,PANRA,Form 4,unknown,,Company
"Midland States Bancorp, Inc.",MSBI,Form 4,Finance,592358691.96,Company
NABORS INDUSTRIES LTD,NBR,Form 4,Energy,1252183992.75,Company
COVENANT TRANSPORT INC,CVTI,Form 4,Transportation,418840686.78,Company
"Celsius Holdings, Inc.",CSUH,Form 4,unknown,,Company
AIR PRODUCTS & CHEMICALS INC /DE/,APD,Form 4,Basic Industries,40653729752.1,Company
"Versartis, Inc.",VSAR,Form 4,unknown,,Company
ENTERTAINMENT PROPERTIES TRUST,EPR,Form 4,Consumer Services,5650131746.33,Company
UNITED SECURITY BANCSHARES INC,USBI,Form 4,unknown,,Company
WEBSTER FINANCIAL CORP,WBS,Form 4,Finance,5123852467.68,Company
WELLS FARGO & CO/MN,WFC,Form 4,Finance,227107137004.8,Company
LAWSON PRODUCTS INC/NEW/DE/,LAWS,Form 4,Consumer Durables,272010357.5,Company
FIRST NATIONAL CORP /SC/,FNC,Form 4,unknown,,Company
RURBAN FINANCIAL CORP,RBNF,Form 4,unknown,,Company
XCEL ENERGY INC,XEL,Form 4,Public Utilities,29130073997.2,Company
"FTD Companies, Inc.",FTD,Form 4,Consumer Services,46005666.05,Company
ABM INDUSTRIES INC /DE/,ABM,Form 4,Finance,2242188660.6,Company
KIMBALL INTERNATIONAL INC,KBALB,Form 4,unknown,,Company
Invesco Quality Municipal Income Trust,IQI,Form 4,unknown,,Company
NORDSTROM INC,JWN,Form 4,Consumer Services,7021813000.0,Company
BRUSH ENGINEERED MATERIALS INC,BW,Form 4,Capital Goods,73599819.6774,Company
FRANKLIN ELECTRIC CO INC,FELE,Form 4,Consumer Durables,2388659027.72,Company
Nielsen Holdings N.V.,NLSN,Form 4,Miscellaneous,9621954973.11,Company
HERSHEY FOODS CORP,HSY,Form 4,unknown,,Company
QUALCOMM INC/DE,QCOM,Form 4,Technology,67038832335.27,Company
"Zoom Telephonics, Inc.",ZMTP,Form 4,unknown,,Company
FARMERS & MERCHANTS BANCORP,FMCB,Form 4,unknown,,Company
LivaNova PLC,LIVN,Form 4,Health Care,4645043387.39,Company
U S GLOBAL INVESTORS INC,GROW,Form 4,Finance,18315036.74,Company
"Employers Holdings, Inc.",EIG,Form 4,Finance,1347994174.78,Company
CONSECO INC,CNO,Form 4,Finance,2650192823.5,Company
JABIL CIRCUIT INC,JBL,Form 4,Technology,4279420440.48,Company
CROSS COUNTRY HEALTHCARE INC,CCRN,Form 4,Technology,274663057.6,Company
FOSTER L B CO,FSTR,Form 4,Basic Industries,189814091.04,Company
Ally Financial Inc.,ALLY,Form 4,Finance,10811584811.85,Company
COGNIZANT TECHNOLOGY SOLUTIONS CORP,CTSH,Form 4,Technology,40952819372.75,Company
Tyco Electronics Ltd.,TEL,Form 4,unknown,,Company
DYNASIL CORP OF AMERICA,DYSL:OB,Form 4,unknown,,Company
"Jacksonville Bancorp, Inc.",JXSB,Form 4,unknown,,Company
CITIZENS COMMUNICATIONS CO,CZN,Form 4,unknown,,Company
WADDELL & REED FINANCIAL INC,WDR,Form 4,Finance,1351252368.5,Company
BOSTON SCIENTIFIC CORP,BSX,Form 4,Health Care,55757248282.98,Company
Global Indemnity plc,GBLI,Form 4,Finance,494161986.94,Company
EOG RESOURCES INC,EOG,Form 4,Energy,51375314138.25,Company
FEDERATED DEPARTMENT STORES INC /DE/,FD,Form 4,unknown,,Company
BEMIS CO INC,BMS,Form 4,Consumer Durables,4808970208.0,Company
VECTREN CORP,VVC,Form 4,unknown,,Company
TEXTRON INC,TXT,Form 4,Capital Goods,12244252167.84,Company
KENTUCKY BANCSHARES INC /KY/,KTYB.OB,Form 4,unknown,,Company
INDUSTRIAL SERVICES OF AMERICA INC /FL,IDSA,Form 4,Consumer Durables,10134831.25,Company
PERMA FIX ENVIRONMENTAL SERVICES INC,PESI,Form 4,Basic Industries,41778005.5,Company
"BROADRIDGE FINANCIAL SOLUTIONS, INC.",BR,Form 4,Miscellaneous,11970646907.44,Company
SYKES ENTERPRISES INC,SYKE,Form 4,Technology,1212743429.1,Company
MYRIAD GENETICS INC,MYGN,Form 4,Health Care,2382082245.43,Company
MANNKIND CORP,MNKD,Form 4,Health Care,395292814.26,Company
CHICAGO BRIDGE & IRON CO N V,CBI,Form 4,unknown,,Company
ZIONS BANCORPORATION /UT/,ZION,Form 4,Finance,9144162204.48,Company
PAPA JOHNS INTERNATIONAL INC,PZZA,Form 4,Consumer Services,1467252013.53,Company
PEAPACK GLADSTONE FINANCIAL CORP,PGC,Form 4,Finance,534879730.92,Company
DYNEX CAPITAL INC,DX,Form 4,Consumer Services,426327520.5,Company
DEERE & CO,DE,Form 4,Capital Goods,50857038407.36,Company
IBERIABANK CORP,IBKC,Form 4,Finance,4170889982.48,Company
EVANS BOB FARMS INC,BOBE,Form 4,unknown,,Company
SeaSpine Holdings Corp,SPNE,Form 4,Health Care,267153018.8,Company
ALLEGHANY CORP /DE,Y,Form 4,Finance,8890664613.6,Company
Domtar CORP,UFS,Form 4,Basic Industries,3166322747.76,Company
ICAD INC,ICAD,Form 4,Health Care,77616000.0,Company
ADVISORY BOARD CO,ABCO,Form 4,unknown,,Company
Capitol Federal Financial Inc,CFFN,Form 4,Finance,1859234785.24,Company
EXELON CORP,EXC,Form 4,Public Utilities,48128490654.79,Company
GENTEX CORP,GNTX,Form 4,Capital Goods,5360895280.84,Company
ASPEN TECHNOLOGY INC /DE/,AZPN,Form 4,Technology,7059998902.17,Company
VALVOLINE INC,VVV,Form 4,Basic Industries,3406068443.7,Company
SOUTHERN CO,SO,Form 4,Public Utilities,53518010152.67,Company
FIRST OF LONG ISLAND CORP,FLIC,Form 4,Finance,586502611.8,Company
UNITED BANKSHARES INC/WV,UBSI,Form 4,Finance,3803389011.75,Company
DELTA NATURAL GAS CO INC,DBAS,Form 4,unknown,,Company
"PROS Holdings, Inc.",PRO,Form 4,Technology,1557105944.7,Company
KENTUCKY INVESTORS INC,KINV,Form 4,unknown,,Company
CURTISS WRIGHT CORP,CW,Form 4,Technology,4922049152.95,Company
OWENS & MINOR INC/VA/,OMI,Form 4,Health Care,299972767.48,Company
TRIMAS CORP,TRS,Form 4,Capital Goods,1429206004.85,Company
Delphi Automotive PLC,DLPH,Form 4,Capital Goods,1713973053.76,Company
BROWN & BROWN INC,BRO,Form 4,Finance,8158902439.44,Company
PC TEL INC,PCTI,Form 4,Technology,87648675.54,Company
"Innophos Holdings, Inc.",IPHS,Form 4,Consumer Durables,616018950.72,Company
SYNCHRONOSS TECHNOLOGIES INC,SNCR,Form 4,Technology,284153408.19,Company
"IZEA, Inc.",IZEA,Form 4,Consumer Services,16721147.935,Company
OPENWAVE SYSTEMS INC,OPWV,Form 4,unknown,,Company
CABLE DESIGN TECHNOLOGIES CORP,CDT,Form 4,unknown,,Company
"Colony Financial, Inc.",CLNY,Form 4,Consumer Services,2571439502.8,Company
SCG Financial Acquisition Corp.,SCGQ,Form 4,unknown,,Company
TELIK INC,TELK,Form 4,unknown,,Company
VECTOR GROUP LTD,VGR,Form 4,unknown,,Company
"Hudson Pacific Properties, Inc.",HPP,Form 4,Finance,5294637645.13,Company
DOLPHIN DIGITAL MEDIA INC,DPDM,Form 4,unknown,,Company
Extra Space Storage Inc.,EXR,Form 4,Consumer Services,12748944875.15,Company
"Mentor Capital, Inc.",MNTR,Form 4,unknown,,Company
POPE RESOURCES LTD PARTNERSHIP,POPEZ,Form 4,unknown,,Company
OSI SYSTEMS INC,OSIS,Form 4,Technology,1569863212.96,Company
NEW JERSEY MINING CO,NJMC,Form 4,unknown,,Company
MOLINA HEALTHCARE INC,MOH,Form 4,Health Care,8854954200.0,Company
Oak Valley Bancorp,OVLY.OB,Form 4,unknown,,Company
LEARNING TREE INTERNATIONAL INC,LTRE,Form 4,unknown,,Company
Nexvet Biopharma plc,NVET,Form 4,unknown,,Company
UNITED STATES LIME & MINERALS INC,USLM,Form 4,Basic Industries,415138594.0,Company
CELL THERAPEUTICS INC,CTIC,Form 4,Health Care,57988562.0,Company
FRANKLIN RESOURCES INC,BEN,Form 4,Finance,16696657315.42,Company
BioFuel Energy Corp.,BIOF,Form 4,unknown,,Company
RLI CORP,RLI,Form 4,Finance,3096292491.08,Company
ERIE INDEMNITY CO,ERIE,Form 4,Finance,9226024309.92,Company
MPLX LP,MPLX,Form 4,Energy,26556671877.12,Company
"Virtu Financial, Inc.",VIRT,Form 4,Finance,4797668174.4,Company
SLM CORP,SLM,Form 4,Finance,4630107083.0,Company
California Resources Corp,CRC,Form 4,Energy,1165664063.2,Company
WESTERN DIGITAL CORP,WDC,Form 4,Technology,14248787452.62,Company
Tessera Holding Corp,TSRA,Form 4,unknown,,Company
CAPITAL TRUST INC,CT,Form 4,unknown,,Company
"Southcross Energy Partners, L.P.",SXE,Form 4,unknown,,Company
"Crocs, Inc.",CROX,Form 4,unknown,,Company
UNIVERSAL ELECTRONICS INC,UEIC,Form 4,unknown,,Company
Vystar Corp,VYST,Form 4,unknown,,Company
"Pharma-Bio Serv, Inc.",PBSV,Form 4,unknown,,Company
"TESARO, Inc.",TSRO,Form 4,unknown,,Company
SYSCO CORP,SYY,Form 4,unknown,,Company
I-Minerals Inc,IMAHF,Form 4,unknown,,Company
Hyatt Hotels Corp,H,Form 4,Consumer Services,7676634724.2,Company
APPLIED MATERIALS INC /DE,AMAT,Form 4,Technology,36646554707.4,Company
NORTHERN TRUST CORP,NTRS,Form 4,Finance,20087330762.81,Company
JOY GLOBAL INC,JOYG,Form 4,unknown,,Company
ACCERIS COMMUNICATIONS INC,ACRS.OB,Form 4,unknown,,Company
"Mueller Water Products, Inc.",MWA,Form 4,Capital Goods,1653309798.8,Company
"Delek Logistics Partners, LP",DKL,Form 4,Energy,769077331.55,Company
"Zendesk, Inc.",ZEN,Form 4,Technology,8852920087.5,Company
"Global Water Resources, Inc.",GWRS,Form 4,Public Utilities,204192024.96,Company
"ING U.S., Inc.",VOYA,Form 4,Finance,7225301113.47,Company
"Orchid Island Capital, Inc.",ORC,Form 4,Consumer Services,327011650.56,Company
Frank's International N.V.,FI,Form 4,Energy,1416316135.86,Company
BIOMARIN PHARMACEUTICAL INC,BMRN,Form 4,Health Care,16973898742.32,Company
AFFILIATED MANAGERS GROUP INC,AMG,Form 4,Finance,5579100688.95,Company
CABOT MICROELECTRONICS CORP,CCMP,Form 4,Technology,3212595305.85,Company
GULFMARK OFFSHORE INC,GMRK,Form 4,unknown,,Company
GREAT EXPECTATIONS & ASSOCIATES INC,GXPT.PK,Form 4,unknown,,Company
BERKLEY W R CORP,BER,Form 4,unknown,,Company
"ZILLOW GROUP, INC.",Z,Form 4,Miscellaneous,8073421414.38,Company
GHL Acquisition Corp.,GHQ,Form 4,unknown,,Company
Park Place Energy Inc.,PKPL,Form 4,unknown,,Company
IROBOT CORP,IRBT,Form 4,Consumer Durables,3475410648.42,Company
URANIUM ENERGY CORP,????,Form 4,unknown,,Company
SWISS HELVETIA FUND INC,SWZ,Form 4,unknown,,Company
"Interval Leisure Group, Inc.",IILG,Form 4,unknown,,Company
STANDARD PACIFIC CORP /DE/,SPF,Form 4,unknown,,Company
HARRIS CORP /DE/,HRS,Form 4,Capital Goods,19082532204.68,Company
Main Street Capital CORP,MAIN,Form 4,unknown,,Company
DIAMOND HILL INVESTMENT GROUP INC,DHIL,Form 4,Finance,469062812.7,Company
DOLLAR TREE STORES INC,DLTR,Form 4,Consumer Services,24406199200.16,Company
SHENANDOAH TELECOMMUNICATIONS CO/VA/,SHEN,Form 4,Public Utilities,2334077997.64,Company
"Ollie's Bargain Outlet Holdings, Inc.",OLLI,Form 4,Consumer Services,5049990456.96,Company
UNITED STATIONERS INC,USTR,Form 4,unknown,,Company
CARPENTER TECHNOLOGY CORP,CRS,Form 4,Basic Industries,2170960718.18,Company
"Zedge, Inc.",ZDGE,Form 4,Technology,19589431.3,Company
CRAWFORD & CO,CRDA/CRDB,Form 4,unknown,,Company
MAUI LAND & PINEAPPLE CO INC,MLP,Form 4,Finance,218113586.61,Company
PEOPLES BANCORP INC,PEBO,Form 4,Finance,621546791.22,Company
WORLD ACCEPTANCE CORP,WRLD,Form 4,Finance,1091327305.09,Company
SCRIPPS E W CO /DE,SSP,Form 4,Consumer Services,1855287755.0,Company
ST PAUL COMPANIES INC /MN/,SPC,Form 4,unknown,,Company
AMETEK INC/,(AME),Form 4,unknown,,Company
CPI AEROSTRUCTURES INC,CVU,Form 4,Capital Goods,85612823.2,Company
APPLIED INDUSTRIAL TECHNOLOGIES INC,AIT,Form 4,Consumer Durables,2278296576.72,Company
YUM BRANDS INC,YUM,Form 4,Consumer Services,30224694222.0,Company
LIBERTY PROPERTY TRUST,LRY,Form 4,unknown,,Company
WEST PHARMACEUTICAL SERVICES INC,(WST),Form 4,unknown,,Company
NBT BANCORP INC,NBTB,Form 4,Finance,1635119887.64,Company
ANGEION CORP/MN,ANGN,Form 4,unknown,,Company
"DelMar Pharmaceuticals, Inc.",DMPI,Form 4,Health Care,8443225.89,Company
PennyMac Mortgage Investment Trust,PMT,Form 4,Consumer Services,1415495047.05,Company
FAIR ISAAC CORP,FIC,Form 4,unknown,,Company
Urban Edge Properties,UE,Form 4,Finance,2283358665.06,Company
CONOCOPHILLIPS,COP,Form 4,Energy,76402115730.9,Company
FRANKLIN COVEY CO,FC,Form 4,Consumer Services,358957287.9,Company
"Revance Therapeutics, Inc.",RVNC,Form 4,Health Care,708420013.1,Company
ACCELERON PHARMA INC,XLRN,Form 4,Health Care,2447738657.81,Company
ALLIANT ENERGY CORP,LNT,Form 4,Public Utilities,11128550751.5,Company
Endo International plc,ENDP,Form 4,Health Care,1916412269.38,Company
LOWES COMPANIES INC,LOW,Form 4,Consumer Services,81235160398.19,Company
STEPAN CO,SCL,Form 4,Basic Industries,2042573591.52,Company
ASSURANT INC,AIZ,Form 4,Finance,6248576450.4,Company
AMERICAN ELECTRIC POWER CO INC,AEP,Form 4,Public Utilities,41028191965.68,Company
WESTAR ENERGY INC /KS,WR,Form 4,unknown,,Company
AbitibiBowater Inc.,ABH,Form 4,unknown,,Company
FRANKLIN FINANCIAL SERVICES CORP /PA/,FRAF,Form 4,unknown,,Company
INTERSECTIONS INC,(INTX),Form 4,unknown,,Company
LUMINEX CORP,LMNX,Form 4,Health Care,1085603180.4,Company
BIOCRYST PHARMACEUTICALS INC,BCRX,Form 4,Health Care,904717860.0,Company
GENERAL CABLE CORP /DE/,BGC,Form 4,unknown,,Company
DONEGAL GROUP INC,DGICA/B,Form 4,unknown,,Company
ATLANTIC POWER CORP,AT,Form 4,Energy,292888753.2,Company
USG CORP,USG,Form 4,Capital Goods,6041089146.4,Company
BRADY CORP,BRC,Form 4,Consumer Durables,2450974182.8,Company
LAYNE CHRISTENSEN CO,LAYN,Form 4,unknown,,Company
CHURCH & DWIGHT CO INC /DE/,CHD,Form 4,Basic Industries,16460617358.04,Company
"Nova Lifestyle, Inc.",STVS,Form 4,unknown,,Company
NANO PROPRIETARY  INC,NNPP,Form 4,unknown,,Company
SUFFOLK BANCORP,SUBK,Form 4,unknown,,Company
INTERNATIONAL BUSINESS MACHINES CORP,IBM,Form 4,Technology,123299868431.36,Company
KROGER CO,KR,Form 4,Consumer Services,19728185255.55,Company
CARNIVAL PLC,CUK,Form 4,Consumer Services,39652579044.93,Company
CARNIVAL CORP,CCL,Form 4,Consumer Services,40319324684.66,Company
"Batesville Holdings, Inc.",HI,Form 4,Consumer Durables,2723164341.3,Company
COOPER TIRE & RUBBER CO,CTB,Form 4,Consumer Durables,1447127993.7,Company
"National Western Life Group, Inc.",NWLI,Form 4,Finance,1026848408.2,Company
VERIZON COMMUNICATIONS INC,VZ,Form 4,Public Utilities,238253765613.78,Company
KINGSWAY FINANCIAL SERVICES INC,KFS,Form 4,Finance,49907796.94,Company
"Home Treasure Finders, Inc.",HMTF,Form 4,unknown,,Company
CEL SCI CORP,CVM,Form 4,Health Care,89883841.12,Company
REPUBLIC BANCORP INC /KY/,RBCAA,Form 4,Finance,910405041.65,Company
TCP International Holdings Ltd.,TCPI,Form 4,unknown,,Company
REPUBLIC FIRST BANCORP INC,FRBK,Form 4,Finance,351555845.94,Company
ENPRO INDUSTRIES INC,NPO,Form 4,Basic Industries,1358605179.36,Company
"QTS Realty Trust, Inc.",QTS,Form 4,Consumer Services,2207135790.2,Company
DAKTRONICS INC /SD/,DAKT,Form 4,Consumer Durables,347046560.04,Company
"Actinium Pharmaceuticals, Inc.",ATNM,Form 4,Health Care,66112719.3416,Company
CLEARSIGN COMBUSTION CORP,CLIR,Form 4,Capital Goods,26299471.8111,Company
METROPCS COMMUNICATIONS INC,PCS,Form 4,unknown,,Company
INTREXON CORP,XON,Form 4,Health Care,903102433.54,Company
"Gevo, Inc.",GEVO,Form 4,Basic Industries,20391421.88,Company
Mylan N.V.,MYL,Form 4,Health Care,14173145016.62,Company
BASIC ENERGY SERVICES INC,BAS,Form 4,Energy,118120369.1,Company
BROWN SHOE CO INC,BWS,Form 4,unknown,,Company
OIL STATES INTERNATIONAL INC,OIS,Form 4,Energy,972210332.55,Company
INDEPENDENT BANK CORP /MI/,IBCP,Form 4,Finance,546246846.27,Company
COMMERCIAL NET LEASE REALTY INC,NNN,Form 4,Consumer Services,8565775200.0,Company
FULLER H B CO,FUL,Form 4,Basic Industries,2546382251.22,Company
CITRIX SYSTEMS INC,CTXS,Form 4,Technology,13246349766.48,Company
F&M BANK CORP,FMBM.OB,Form 4,unknown,,Company
EQUITY ONE INC,EQY,Form 4,unknown,,Company
"Carolina Trust BancShares, Inc.",CART,Form 4,Finance,59188282.49,Company
First Foundation Inc.,FFWM,Form 4,Finance,647053453.02,Company
TimkenSteel Corp,TMST,Form 4,Basic Industries,503830859.26,Company
CONNS INC,CONN,Form 4,Consumer Services,745924033.97,Company
CHICAGO MERCANTILE EXCHANGE HOLDINGS INC,CME,Form 4,Finance,60714405106.59,Company
OMEGA HEALTHCARE INVESTORS INC,OHI,Form 4,Consumer Services,7478878247.7,Company
RXi Pharmaceuticals Corp,RXII,Form 4,unknown,,Company
BankGuam Holding Co,BKGM,Form 4,unknown,,Company
SELECTA BIOSCIENCES INC,SELB,Form 4,Health Care,47640165.12,Company
IXIA,XXIA,Form 4,unknown,,Company
CONSOLIDATED TOMOKA LAND CO,CTO,Form 4,Finance,320565054.85,Company
US CONCRETE INC,RMIX,Form 4,unknown,,Company
DISCOVERY PARTNERS INTERNATIONAL INC,DPII,Form 4,unknown,,Company
HARRIS & HARRIS GROUP INC /NY/,TINY,Form 4,unknown,,Company
"BLAST ENERGY SERVICES, INC.",BESV.OB,Form 4,unknown,,Company
INCYTE CORP,INCY,Form 4,Health Care,18206950524.5,Company
IRIS BIOTECHNOLOGIES INC,IRSB,Form 4,unknown,,Company
"American Midstream Partners, LP",AMID,Form 4,Public Utilities,214726414.56,Company
Care.com Inc,CRCM,Form 4,Consumer Services,633565954.56,Company
CYTOKINETICS INC,CYTK,Form 4,Health Care,386963001.45,Company
GENESCO INC,GCO,Form 4,Consumer Services,939155221.44,Company
NEW ENGLAND REALTY ASSOCIATES LIMITED PARTNERSHIP,NEN,Form 4,Consumer Services,243522584.5,Company
"Cannabis Sativa, Inc.",CBDS,Form 4,unknown,,Company
Teucrium Commodity Trust,NAGS,Form 4,unknown,,Company
AMERICAN SOFTWARE INC,AMSWA,Form 4,Technology,361359183.42,Company
BINGHAM CANYON CORP,BGHM,Form 4,unknown,,Company
Cell MedX Corp.,CMXC,Form 4,unknown,,Company
YADKIN VALLEY FINANCIAL CORP,YAVY,Form 4,unknown,,Company
HERITAGE OAKS BANCORP,HEOP,Form 4,unknown,,Company
UNION BANKSHARES CORP,UBSH,Form 4,Finance,2853476515.24,Company
VAN KAMPEN MUNICIPAL OPPORTUNITY TRUST,VMO,Form 4,unknown,,Company
General Finance CORP,GFN,Form 4,Technology,284912317.4,Company
STEWARDSHIP FINANCIAL CORP,SSFN.OB,Form 4,unknown,,Company
Arc Logistics Partners LP,ARCX,Form 4,unknown,,Company
"Chanticleer Holdings, Inc.",CEEH,Form 4,unknown,,Company
"Zynerba Pharmaceuticals, Inc.",ZYNE,Form 4,Health Care,107438619.6,Company
TARGETED GENETICS CORP /WA/,TGEN,Form 4,Capital Goods,96796619.4,Company
"TerraForm Power, Inc.",TERP,Form 4,Public Utilities,2624728586.0,Company
"TERRAFORM GLOBAL, INC.",GLBL,Form 4,unknown,,Company
Searchmedia Holdings Ltd,IDI,Form 4,unknown,,Company
Facebook Inc,FB,Form 4,Technology,494796211626.0,Company
APPLE COMPUTER INC,AAPL,Form 4,Technology,856813528800.0,Company
PAYMENT DATA SYSTEMS INC,PYDS,Form 4,Finance,51102000.0,Company
ZAP COM CORP,ZPCM,Form 4,unknown,,Company
STAR GAS PARTNERS LP,"SGU, SGH",Form 4,unknown,,Company
